m_a (scraped),m_a (rounded),BR (h -> aa ->4tau),xsec * BR(h ->aa ->4tau) [pb]
20,20,0.1406976744,2.711244186
20.47567568,20.5,0.1589413528,3.062799868
20.99459459,21,0.1439110381,2.773165703
21.51351351,21.5,0.1084871634,2.090547638
22.03243243,22,0.1291455785,2.488635298
22.50810811,22.5,0.1337041048,2.5764781
22.98378378,23,0.09506048446,1.831815535
23.5027027,23.5,0.09022694967,1.73867332
23.97837838,24,0.09612715757,1.852370326
24.4972973,24.5,0.12134729,2.338362279
25.01621622,25,0.1122203742,2.162486611
25.49189189,25.5,0.08806691486,1.697049449
26.01081081,26,0.0818916985,1.57805303
26.48648649,26.5,0.07893680801,1.52111229
27.00540541,27,0.07785998163,1.500361846
27.48108108,27.5,0.07678344534,1.479616992
28,28,0.07570661896,1.458866547
28.51891892,28.5,0.07597147416,1.463970307
28.99459459,29,0.07704162839,1.484592179
29.51351351,29.5,0.0722080936,1.391449964
29.98918919,30,0.07139989363,1.37587595
30.50810811,30.5,0.0730064304,1.406833914
30.98378378,31,0.07031987623,1.355064015
31.5027027,31.5,0.07112140405,1.370509456
32.02162162,32,0.07380128608,1.422150783
32.4972973,32.5,0.07057805928,1.360039202
33.01621622,33,0.06842788764,1.318605395
33.49189189,33.5,0.07083972344,1.365081471
34.01081081,34,0.06868955181,1.323647663
34.48648649,34.5,0.07378475076,1.421832147
35.00540541,35,0.08585640381,1.654452901
35.48108108,35.5,0.1054417638,2.031862788
36,36,0.1040966011,2.005941503
36.51891892,36.5,0.0869195958,1.674940611
36.99459459,37,0.07564627955,1.457703807
37.51351351,37.5,0.06947106319,1.338707388
38.03243243,38,0.06597920998,1.271419376
38.50810811,38.5,0.06704936421,1.292041248
38.98378378,39,0.06704617319,1.291979757
39.5027027,39.5,0.06865270996,1.322937721
40.02162162,40,0.06542919306,1.26082055
40.54054054,40.5,0.06810907509,1.312461877
41.01621622,41,0.06730087511,1.296887863
41.49189189,41.5,0.07534777353,1.451951596
42.01081081,42,0.07480761978,1.441542833
42.48648649,42.5,0.06568099405,1.265672755
43.00540541,43,0.06218914084,1.198384744
43.52432432,43.5,0.0600389692,1.156950937
44,44,0.06030411449,1.162060286
44.51891892,44.5,0.0627156602,1.208530772
45.03783784,45,0.0629805154,1.213634532
45.51351351,45.5,0.07102741382,1.368698264
45.98918919,46,0.06673084175,1.285903321
46.50810811,46.5,0.06538567906,1.259982035
46.98378378,47,0.05867408016,1.130649525
47.5027027,47.5,0.06162229851,1.187461692
47.97837838,48,0.06993753324,1.347696266
48.4972973,48.5,0.08522922207,1.642367109
49.01621622,49,0.09783754774,1.885329545
49.49189189,49.5,0.0956876662,1.843901328
50.01081081,50,0.0833407146,1.60597557
50.48648649,50.5,0.06911569888,1.331859517
51.00540541,51,0.05972044674,1.150813009
51.52432432,51.5,0.05676526616,1.093866679
52.04324324,52,0.05890847556,1.135166324
52.51891892,52.5,0.0656136924,1.264375853
52.99459459,53,0.06829386453,1.316022769
53.51351351,53.5,0.06426533868,1.238393076
53.98918919,54,0.05701706716,1.098718884
54.50810811,54.5,0.05594024078,1.07796844
54.98378378,55,0.05352202292,1.031369382
55.5027027,55.5,0.05110351496,0.9847647334
56.02162162,56,0.05458840594,1.051918582
56.4972973,56.5,0.05941526858,1.144932225
57.01621622,57,0.05726509694,1.103498418
57.49189189,57.5,0.05243185225,1.010361793
58.01081081,58,0.0484033264,0.9327320998
58.48648649,58.5,0.04464342697,0.8602788377
59.00540541,59,0.04276159165,0.824015871
59.52432432,59.5,0.03980641106,0.7670695412
60,60,0.04033989267,0.7773497317
60.51891892,60.5,0.04006807523,0.7721118097
61.03783784,61,0.04274795726,0.8237531364
61.51351351,61.5,0.04515979307,0.8702292124
62.03243243,62,0.05132804719,0.9890914693
62.50810811,62.5,0.0556182372,1.071763431
