,m_a,br_4tau,xsec_br_4tau,xsec_br_2tau2mu,xsec_br_4mu,br_2tau2mu,br_4mu
0,20.0,0.1406976744,2.711244186,0.0196272560281,3.55214389378e-05,0.00101853949278,1.84335438161e-06
1,20.5,0.1589413528,3.062799868,0.0221549224698,4.00646965847e-05,0.00114971055906,2.07912281218e-06
2,21.0,0.1439110381,2.773165703,0.0200452982794,3.62234018937e-05,0.00104023343477,1.8797821437e-06
3,21.5,0.1084871634,2.090547638,0.0151009401287,2.7270174167e-05,0.000783650240472,1.41516212643e-06
4,22.0,0.1291455785,2.488635298,0.0179652175787,3.24222921405e-05,0.000932289443516,1.68252683635e-06
5,22.5,0.1337041048,2.5764781,0.0185884541758,3.35274175865e-05,0.000964631768144,1.73987636637e-06
6,23.0,0.09506048446,1.831815535,0.0132087230651,2.38111264039e-05,0.000685455270836,1.2356578314e-06
7,23.5,0.09022694967,1.73867332,0.0125306792505,2.25772605862e-05,0.000650268772785,1.17162743062e-06
8,24.0,0.09612715757,1.852370326,0.0133436896627,2.40305692815e-05,0.000692459245741,1.2470456298e-06
9,24.5,0.12134729,2.338362279,0.0168369812002,3.03079572488e-05,0.000873740591344,1.57280525375e-06
10,25.0,0.1122203742,2.162486611,0.0155640262832,2.80046721343e-05,0.000807681696003,1.45327826321e-06
11,25.5,0.08806691486,1.697049449,0.0122092778721,2.19596527147e-05,0.000633589926034,1.13957720391e-06
12,26.0,0.0818916985,1.57805303,0.0113489071081,2.04045254024e-05,0.00058894172853,1.05887521555e-06
13,26.5,0.07893680801,1.52111229,0.01093553271,1.96543470914e-05,0.000567490021407,1.01994536046e-06
14,27.0,0.07785998163,1.500361846,0.0107827482527,1.93732698868e-05,0.000559561403881,1.00535910155e-06
15,27.5,0.07678344534,1.479616992,0.0106302991999,1.90933298432e-05,0.000551650191892,9.90831854661e-07
16,28.0,0.07570661896,1.458866547,0.0104780830553,1.88143022299e-05,0.000543751066833,9.76351958203e-07
17,28.5,0.07597147416,1.463970307,0.0105117610756,1.88694265829e-05,0.000545498758486,9.79212588672e-07
18,29.0,0.07704162839,1.484592179,0.0106569688939,1.91249468393e-05,0.000553034192758,9.92472591606e-07
19,29.5,0.0722080936,1.391449964,0.00998581191268,1.79159226231e-05,0.000518205080972,9.29731324277e-07
20,30.0,0.07139989363,1.37587595,0.00987165271764,1.77068156795e-05,0.000512280888398,9.18879900502e-07
21,30.5,0.0730064304,1.406833914,0.0100914459536,1.80968912571e-05,0.000523686868303,9.3912253527e-07
22,31.0,0.07031987623,1.355064015,0.00971796220475,1.74233077492e-05,0.000504305251915,9.04167501226e-07
23,31.5,0.07112140405,1.370509456,0.00982667943423,1.76145498815e-05,0.000509947038637,9.140918465e-07
24,32.0,0.07380128608,1.422150783,0.0101949243419,1.8271002551e-05,0.000529056789837,9.48157890398e-07
25,32.5,0.07057805928,1.360039202,0.00974781746065,1.74663982307e-05,0.000505854564763,9.06403644781e-07
26,33.0,0.06842788764,1.318605395,0.00944913719516,1.69281488745e-05,0.000490354810269,8.78471659169e-07
27,33.5,0.07083972344,1.365081471,0.00978049297994,1.75187424639e-05,0.000507550232367,9.09120003108e-07
28,34.0,0.06868955181,1.323647663,0.00948206118454,1.69813853831e-05,0.000492063372458,8.81234322157e-07
29,34.5,0.07378475076,1.421832147,0.010183803006,1.8235247368e-05,0.000528479657865,9.46302406324e-07
30,35.0,0.08585640381,1.654452901,0.0118481438047,2.1212225433e-05,0.000614849185663,1.10079011097e-06
31,35.5,0.1054417638,2.031862788,0.0145488045842,2.604355423e-05,0.000754997643343,1.35150774444e-06
32,36.0,0.1040966011,2.005941503,0.0143612038333,2.5704161267e-05,0.000745262264384,1.33389523972e-06
