ma1,mh1,mh2,xsec_8_ggf_h1_2a1_4tau,xsec_8_ggf_h2_2a1_4tau,xsec_8_ggf_h2_2h1_4tau,xsec_8_ggf_h1_2a1_4b,xsec_8_ggf_h2_2a1_4b,xsec_8_ggf_h2_2h1_4b,xsec_8_ggf_h1_2a1_2b2tau,xsec_8_ggf_h2_2a1_2b2tau,xsec_8_ggf_h2_2h1_2b2tau,xsec_8_ggf_h1_2a1_2tau2mu,xsec_8_ggf_h2_2a1_2tau2mu,xsec_8_ggf_h2_2h1_2tau2mu,xsec_8_ggf_h1_2a1_4mu,xsec_8_ggf_h2_2a1_4mu,xsec_8_ggf_h2_2h1_4mu
15.2152053,97.945235,126.792103,0.000664674739571,0.00223946779147,,0.138784803679,0.467603294183,,0.0192090346703,0.0647203991492,,4.83311121354e-06,1.62840503045e-05,,8.78586269786e-09,2.96019321342e-08,
56.225524,86.7189498,126.67074,,0.00910777144388,,,0.986200419434,,,0.189547756706,,,6.45289727188e-05,,,1.14297672757e-07,
36.0733752,84.7665254,127.26196,0.0102880896186,0.00216115582899,,1.21315775286,0.254840601732,,0.223437469399,0.0469361375444,,7.31007224223e-05,1.53558200039e-05,,1.29851989455e-07,2.72772102811e-08,
25.2131637,64.1671776,127.716398,0.0104543663876,0.0040861246929,,1.53673949988,0.600639865125,,0.253500593878,0.0990815701214,,7.4664952695e-05,2.91830509463e-05,,1.3331403727e-07,5.21062453144e-08,
47.5646492,93.1614494,126.493867,,0.00698522886851,,,0.771838999325,,,0.146853288147,,,4.95300119393e-05,,,8.78003473075e-08,
46.984969,123.755829,167.01682,1.27300141884e-06,0.00570451823057,,0.00013846911887,0.620501753787,,2.65534468411e-05,0.118990143568,,9.02707070497e-09,4.04517140697e-05,,1.60031254299e-11,7.17125051159e-08,
37.2811061,122.589035,160.967826,0.0361410167781,0.00778389119576,,4.53336116856,0.976375133656,,0.809543777825,0.174355932582,,0.000256715533514,5.52902480139e-05,,4.55873070423e-07,9.81839111236e-08,
19.035214,56.5520221,126.73969,0.00312879846641,3.43405876926e-05,9.81450046749e-06,0.568802994105,0.00624298091059,0.000987180792749,0.0843722688008,0.0009260402441,0.000196862249829,2.25181068673e-05,2.47150793459e-07,6.98093185995e-08,4.05159634225e-08,4.44688914865e-10,1.24136245636e-10
41.9461616,89.5407936,126.372578,0.00389264685604,0.00198341454536,,0.458758596787,0.233750583428,,0.0845171038185,0.0430638738229,,2.76236027903e-05,1.40750131198e-05,,4.90067208338e-08,2.49703213564e-08,
23.838808,76.5143794,126.422602,0.00906794401942,0.00430911550624,,1.39142937646,0.661211614133,,0.224654434123,0.106756493374,,6.48408840604e-05,3.08125919552e-05,,1.15912169195e-07,5.50818272115e-08,
39.3442082,106.353382,125.952709,0.00456365856122,0.000637116567247,,0.517384276263,0.0722302270466,,0.0971836443402,0.013567472028,,3.2401293935e-05,4.52343243678e-06,,5.75110864769e-08,8.02892361539e-09,
7.34397071,81.3516073,125.824716,1.33131988356,0.749461326858,,,,,,,,0.0107527387573,0.00605321227149,,2.17117974822e-05,1.22225715626e-05,
24.0781086,122.232651,139.037853,0.00362660327201,0.00273346367639,,0.465606107912,0.350939236532,,0.0821843935165,0.0619444801635,,2.59264395134e-05,1.95414208152e-05,,4.63367657989e-08,3.49252059552e-08,
46.2847954,73.9256815,125.71893,,0.00864300468041,,,0.984269015345,,,0.184467251364,,,6.12943812746e-05,,,1.08671732654e-07,
21.7769358,73.2469722,122.154553,0.0018927710144,0.00135219541308,,0.326422194048,0.233195981004,,0.0497128742823,0.0355148721446,,1.35648801624e-05,9.69074895747e-06,,2.43037816539e-08,1.73626190505e-08,
28.7823823,68.0683461,127.53713,0.0109376083346,0.0153167124183,,1.41971256649,1.9881246825,,0.249224878373,0.349007358167,,7.79333482984e-05,0.000109135621533,,1.38823922725e-07,1.94405032263e-07,
24.6353546,75.084217,124.180061,0.00329394924478,0.00328878293252,,0.542465144595,0.541614328714,,0.0845423598762,0.0844097615275,,2.35366296074e-05,2.34997141697e-05,,4.20447381022e-08,4.19787940849e-08,
25.2017087,64.7455191,124.115746,0.0118096406287,0.00548402988225,,1.83117730495,0.85034179919,,0.294112535598,0.136576715979,,8.43450787631e-05,3.91672318319e-05,,1.50599254778e-07,6.9933610972e-08,
21.9073176,77.101894,127.832898,0.0128410038679,0.0141355349515,,1.98493014901,2.18503551484,,0.319302337736,0.35149193954,,9.20124513676e-05,0.000101288437856,,1.6482923169e-07,1.81446044994e-07,
32.8345107,79.1321751,126.976657,0.00421215935131,0.00830237203344,,0.516971141798,1.0189753976,,0.0933287700397,0.183955569025,,2.99592705603e-05,5.9051187122e-05,,5.32718386014e-08,1.05001398591e-07,
