ma1,mh1,mh2,xsec_8_ggf_h1_2a1_4tau,xsec_8_ggf_h2_2a1_4tau,xsec_8_ggf_h2_2h1_4tau,xsec_8_ggf_h1_2a1_4b,xsec_8_ggf_h2_2a1_4b,xsec_8_ggf_h2_2h1_4b,xsec_8_ggf_h1_2a1_2b2tau,xsec_8_ggf_h2_2a1_2b2tau,xsec_8_ggf_h2_2h1_2b2tau,xsec_8_ggf_h1_2a1_2tau2mu,xsec_8_ggf_h2_2a1_2tau2mu,xsec_8_ggf_h2_2h1_2tau2mu,xsec_8_ggf_h1_2a1_4mu,xsec_8_ggf_h2_2a1_4mu,xsec_8_ggf_h2_2h1_4mu
28.2911548,122.110966,911.698389,0.000562493964257,1.66888838527e-08,7.06805970505e-13,0.0776177824434,2.30287654342e-06,5.94551545956e-11,0.0132150723257,3.92083864295e-07,1.29650697253e-11,4.00900154352e-06,1.18944851637e-10,5.00410794963e-15,7.14322925989e-09,2.11935649139e-13,8.8571324439e-18
22.0490383,122.100089,505.478828,0.00525395179334,1.66543266271e-07,2.9692115259e-10,0.940130500406,2.98008833004e-05,2.49714263985e-08,0.140561734887,4.45561957201e-06,5.44593231983e-09,3.76407935191e-05,1.19316296462e-09,2.10216932941e-12,6.74173171203e-08,2.137039059e-12,3.72078231121e-15
53.5655987,122.137757,804.163993,0.000386833438017,4.83738965578e-07,1.23665206859e-09,0.0378173695567,4.72909873667e-05,1.03964351157e-07,0.00764958118654,9.565875456e-06,2.26775421876e-08,2.74129012119e-06,3.42800988036e-09,8.75535473342e-12,4.85652918674e-09,6.07313684448e-12,1.54967266977e-14
59.0208039,122.157507,352.664473,2.4002669992e-05,1.71014191715e-05,1.4146830041e-06,0.00231783979828,0.00165141419583,0.000118995475092,0.000471738672455,0.000336104307551,2.59492486348e-05,1.70028578606e-07,1.2114193941e-07,1.00157892457e-08,3.01109392749e-10,2.14534380699e-10,1.77276524003e-11
54.3786768,122.132094,521.428492,5.29907046789e-05,1.31183852191e-06,1.08968310675e-08,0.00474736640552,0.000117525859792,9.15531776707e-07,0.00100312769117,2.48334411789e-05,1.99763811615e-07,3.75493387677e-07,9.29571881827e-09,7.71483227653e-11,6.65188758308e-10,1.64674208954e-11,1.36550334419e-13
56.9312326,122.142691,359.156617,1.74654290546e-07,1.09237787744e-05,2.29732282282e-06,1.559050803e-05,0.000975110660994,0.000193187086987,3.30027218225e-06,0.000206416018189,4.21337443867e-05,1.23737261967e-09,7.73916559191e-08,1.62647803145e-08,2.19160232926e-12,1.37074096098e-10,2.87881916347e-11
43.9802128,122.18096,654.545715,0.000326127758874,9.15018985775e-08,2.60398247442e-11,0.0329835596641,9.2542209272e-06,2.18847322156e-09,0.0065595287614,1.84041167644e-06,4.77440924709e-10,2.3135652389e-06,6.49118653909e-10,1.84358806405e-13,4.10313440746e-09,1.15121935556e-12,3.26309507005e-16
14.1354033,122.10955,594.941552,0.00653197998101,2.22928826507e-06,3.84602050277e-08,1.4659072081,0.000500296961443,3.23594913635e-06,0.195706683967,6.67923991244e-05,7.05564362034e-07,4.77147485521e-05,1.62844848465e-08,2.72293997631e-10,8.71365664012e-08,2.97386895707e-11,4.81952846406e-13
37.5086897,122.142404,644.743764,0.000252354307272,2.55830026436e-07,2.65128967296e-10,0.0272225842433,2.75975255659e-05,2.2285659348e-08,0.00524203639396,5.31423586044e-06,4.8615116367e-09,1.79241469518e-06,1.81710193025e-09,1.877082485e-12,3.1827774947e-09,3.22661443512e-12,3.32238183121e-15
50.062876,122.250385,413.848964,4.23326802984e-05,9.27091163067e-06,1.29480339698e-06,0.00365536464087,0.000800529574894,0.000108791649306,0.000786743624609,0.000172297869361,2.37372110481e-05,3.00085748602e-07,6.5719166311e-08,9.16703809351e-09,5.3180814373e-10,1.16466669964e-10,1.6225356607e-11
