ma1,mh1,mh2,xsec_8_ggf_h1_2a1_4tau,xsec_8_ggf_h2_2a1_4tau,xsec_8_ggf_h2_2h1_4tau,xsec_8_ggf_h1_2a1_4b,xsec_8_ggf_h2_2a1_4b,xsec_8_ggf_h2_2h1_4b,xsec_8_ggf_h1_2a1_2b2tau,xsec_8_ggf_h2_2a1_2b2tau,xsec_8_ggf_h2_2h1_2b2tau,xsec_8_ggf_h1_2a1_2tau2mu,xsec_8_ggf_h2_2a1_2tau2mu,xsec_8_ggf_h2_2h1_2tau2mu,xsec_8_ggf_h1_2a1_4mu,xsec_8_ggf_h2_2a1_4mu,xsec_8_ggf_h2_2h1_4mu
55.9860995,126.389532,2086.0025,0.0130286491448,4.46233739716e-08,8.66400156393e-12,1.15701697853,3.96280541063e-06,7.19269740651e-10,0.245555437877,8.41032098829e-07,1.57882920646e-10,9.23101502327e-05,3.16164040449e-10,6.13349977198e-14,1.63508199148e-07,5.60018727721e-13,1.08552091015e-16
40.9651109,126.580977,506.380942,0.00157221123431,1.73053620379e-05,2.68199029061e-07,0.152231859137,0.00167561926703,2.2322096929e-05,0.0309412759372,0.000340571273325,4.89357322331e-06,1.11589173695e-05,1.22826437577e-07,1.89865247531e-09,1.9800366856e-08,2.17943053355e-10,3.36026684607e-12
55.9337826,122.675263,699.170646,0.00141380199875,5.79916493338e-07,5.75675982943e-10,0.132048287757,5.41638645689e-05,4.83428037664e-08,0.0273269195602,1.12090175138e-05,1.0550789748e-08,1.00170605252e-05,4.10882048439e-09,4.07567476403e-12,1.77432026646e-08,7.27794689707e-12,7.2137475222e-15
11.7497084,123.674812,1082.47277,0.0024134282944,2.8657953364e-09,4.23693059452e-14,0.504154819219,5.98652354037e-07,3.54457080225e-12,0.0697636439833,8.28399692015e-08,7.75063880632e-13,1.79009467556e-05,2.12562560274e-11,2.99960438606e-16,3.31938487143e-08,3.9415621779e-14,5.30904759478e-19
22.7310947,123.576635,198.108154,0.00431702233155,0.000628725033381,,0.614174196684,0.0894474623145,,0.102983566117,0.0149983810766,,3.09040965638e-05,4.50082896298e-06,,5.53079826251e-08,8.05497645173e-09,
57.3173664,127.211072,651.15754,0.017962226322,3.9556598746e-08,1.46367282682e-12,1.82777285876,4.02514010661e-06,1.21324841734e-10,0.362385815143,7.9804975307e-07,2.66518197551e-11,0.000127253589176,2.80239157207e-10,1.03616096968e-14,2.25382361684e-07,4.96339344897e-13,1.83379361738e-17
47.1463661,127.250015,159.326514,0.000406984520198,0.000819214290398,,0.0347554380391,0.069958807025,,0.00752194795904,0.0151408394026,,2.8859402568e-06,5.80907474922e-06,,5.11607367877e-09,1.02980837363e-08,
25.3647677,123.983381,475.191789,0.000121347618392,1.45182583889e-07,1.26836590572e-10,0.0174362723253,2.08610857231e-05,1.06117242899e-08,0.00290919241049,3.48061277824e-06,2.32030595312e-09,8.66558845256e-07,1.03676737881e-09,8.97954897559e-13,1.5470518545e-09,1.85092207513e-12,1.58929492352e-15
54.3180293,123.149461,462.920971,0.0138489261034,5.27195836242e-05,5.6811877505e-07,1.23446905498,0.00469933149257,4.78994005574e-05,0.261503886926,0.00099548339936,1.04331296877e-05,9.81342868511e-05,3.73574001582e-07,4.02213238093e-09,1.73846300137e-07,6.61791715072e-10,7.11891139678e-12
51.1430951,126.24549,891.153197,0.0177874305261,7.11327371437e-07,4.48557522922e-10,1.81932227202,7.27555184352e-05,3.7271098669e-08,0.359783648979,1.4387910437e-05,8.17758685568e-09,0.000126077333676,5.04188945278e-09,3.17547830005e-12,2.23409081535e-07,8.93422996035e-12,5.62004978113e-15
44.1601277,127.49198,673.39408,0.000473931031585,4.18309679559e-09,1.21981825624e-15,0.0512607214313,4.52446759693e-07,1.01017687803e-13,0.00985779825067,8.7008702798e-08,2.22011909397e-14,3.36199887935e-06,2.96742897209e-11,8.63527384564e-18,5.96238466753e-09,5.26262906089e-14,1.52825951751e-20
52.9297655,124.031019,1198.35121,0.00142757577722,4.19035696703e-07,3.9781369358e-10,0.0943135404843,2.76838124995e-05,3.32423434115e-08,0.0232068719012,6.8119030111e-06,7.2730349692e-09,1.01170358858e-05,2.96964914131e-09,2.8163672308e-12,1.79245152425e-08,5.26137515961e-12,4.98469792941e-15
57.27627,123.724199,284.60519,6.10936890168e-05,7.15874462825e-05,7.49352797856e-06,0.00564945361992,0.00661983199984,0.000628570579199,0.00117498248935,0.00137680335224,0.000137261957173,4.32820103235e-07,5.0716344665e-07,5.30516059065e-08,7.66581805662e-10,8.98253726648e-10,9.38967899137e-11
45.6020599,127.084625,752.116118,0.0227994677928,8.35611367975e-07,2.24200158479e-10,2.06153939698,7.55564020748e-05,1.85861883444e-08,0.433598897992,1.58916064005e-05,4.0826591199e-09,0.000161703472303,5.92650937845e-09,1.5871579298e-12,2.86717361043e-07,1.05083280215e-11,2.80895240132e-15
27.8885448,123.299768,1088.94646,0.00176980135853,5.41608203907e-09,4.55787866876e-15,0.267262167405,8.17896210571e-07,3.82051004586e-13,0.043497169883,1.33113379882e-07,8.3458783221e-14,1.26166427261e-05,3.86104190354e-11,3.22684911824e-17,2.24855282362e-08,6.88119404091e-14,5.71129465515e-20
53.0105692,127.410024,1112.92826,0.000500896299012,8.54545403945e-08,1.64291665157e-09,0.0407157997738,6.94624808234e-06,1.36118591219e-07,0.00903203042909,1.54089381509e-06,2.99086275246e-08,3.5497597259e-06,6.05600573384e-10,1.16304673689e-11,6.28912318601e-09,1.07294490378e-12,2.05834804657e-14
30.0740215,127.248049,318.397999,0.000481457697259,2.24453585736e-05,2.48996883486e-07,0.0578694501582,0.00269784981453,2.07015034797e-05,0.0105568351725,0.000492155286326,4.54075317538e-06,3.42829099228e-06,1.59825507109e-07,1.76269363125e-09,6.10291371112e-09,2.8451531125e-10,3.11960615142e-12
35.8771456,126.70991,398.46569,0.0156174689066,6.38338434261e-07,4.75343447321e-10,1.76644469345,7.22005304808e-05,3.94210397977e-08,0.332189073121,1.35776836876e-05,8.65760543209e-09,0.000110973899147,4.53587616845e-09,3.36507499853e-12,1.97138319363e-07,8.05770556467e-12,5.95555161722e-15
52.3349988,126.861006,636.403864,0.00122703808387,1.58385127023e-08,1.03453444816e-13,0.127373312289,1.64412486552e-06,8.58053245912e-12,0.025003352179,3.22741336471e-07,1.88434141413e-12,8.69630102665e-06,1.12251181186e-10,7.32370727507e-16,1.54081712174e-08,1.98887482594e-13,1.29615520165e-18
17.3992477,123.906642,445.234455,0.00784728535352,7.71385984567e-05,1.7786263742e-06,1.08324977036,0.0106483153473,0.000151501030488,0.18439707218,0.00181261813056,3.28307007872e-05,5.66784801959e-05,5.5714789612e-07,1.2592018496e-08,1.02342720208e-07,1.00602611521e-09,2.22867112653e-11
33.3767502,122.204449,731.110276,0.00568215608543,2.83607439759e-09,1.23377477494e-13,0.726508303638,3.62614396473e-07,1.03710566843e-11,0.128501106277,6.41373964559e-08,2.26234817184e-12,4.0407031381e-05,2.01679336962e-11,8.7349717599e-16,7.18357679937e-08,3.58546261974e-14,1.54606280652e-18
20.6730668,123.237845,237.441363,0.00370788015036,0.000312515742331,,0.612516803431,0.0516254937462,,0.0953129350551,0.00803337525609,,2.66129976783e-05,2.2430554354e-06,,4.77531376893e-08,4.02483539608e-09,
