ma1,mh1,mh2,xsec_8_ggf_h1_2a1_4tau,xsec_8_ggf_h2_2a1_4tau,xsec_8_ggf_h2_2h1_4tau,xsec_8_ggf_h1_2a1_4b,xsec_8_ggf_h2_2a1_4b,xsec_8_ggf_h2_2h1_4b,xsec_8_ggf_h1_2a1_2b2tau,xsec_8_ggf_h2_2a1_2b2tau,xsec_8_ggf_h2_2h1_2b2tau,xsec_8_ggf_h1_2a1_2tau2mu,xsec_8_ggf_h2_2a1_2tau2mu,xsec_8_ggf_h2_2h1_2tau2mu,xsec_8_ggf_h1_2a1_4mu,xsec_8_ggf_h2_2a1_4mu,xsec_8_ggf_h2_2h1_4mu
34.8754619,124.849076,159.20641,0.00819988377639,0.00422866923921,,1.08770423202,0.560927636624,,0.188881426145,0.0974059021294,,5.82831318852e-05,3.00565341764e-05,,1.03566207613e-07,5.34089565532e-08,
8.36595424,125.166176,274.934633,0.980372959438,0.00630269351099,9.45764784036e-06,,,0.000787799272293,,,0.000172635200191,0.00765502352174,4.92131760801e-05,6.69550072322e-08,1.49431358123e-05,9.60675263547e-08,1.18501266624e-10
14.5244266,124.892486,440.103106,0.0029113141211,4.99033677041e-05,1.64378365246e-06,0.36607135547,0.00627489604285,0.000138667055414,0.0652916137497,0.00111917549032,3.01952737245e-05,2.12288452706e-05,3.63887518628e-07,1.16371565523e-08,3.86993512876e-08,6.6335265687e-10,2.05962950812e-11
55.0697031,124.179048,346.400452,0.0217236931382,6.46041695966e-06,1.20680300609e-08,2.19056954313,0.000651454268745,1.0099770967e-06,0.436290089518,0.000129748467525,2.20802481542e-07,0.00015392639907,4.57762274933e-08,8.54367396139e-11,2.72666992898e-07,8.10885356397e-11,1.51214333222e-13
48.935479,124.713371,208.323325,1.03203351196e-05,4.12936353825e-05,,0.00108654065637,0.00434745705178,,0.000211787286633,0.000847401454654,,7.31668727961e-08,2.92754656928e-07,,1.29680655055e-10,5.18877112413e-10,
51.4339804,125.996317,204.343221,7.40749801789e-05,0.000569356892286,,0.00779585586318,0.0599206946292,,0.00151983929222,0.0116818252816,,5.25029250212e-07,4.03549243669e-06,,9.30326653185e-10,7.1506990726e-09,
54.5005933,126.177548,241.894776,5.12536349081e-05,2.17162301022e-06,,0.0041907977912,0.000177564633823,,0.000926916652054,3.92735760842e-05,,3.63181000538e-07,1.53880250456e-08,,6.4337114523e-10,2.72597170054e-11,
53.5612349,125.882107,437.423668,3.75023486939e-05,8.71230689966e-06,4.78885366933e-07,0.00320541763878,0.000744662219388,3.98641518165e-05,0.000693428265934,0.000161092840212,8.73850306863e-06,2.65760001511e-07,6.17396716594e-08,3.39020178453e-09,4.708263673e-10,1.09379384258e-10,6.00011450208e-12
30.4849555,125.88553,347.284953,4.37467137084e-07,3.71599243733e-06,1.88010804231e-06,4.46342918363e-05,0.000379138629738,0.000156281374958,8.83765486211e-06,7.50700014867e-05,3.42826994224e-05,3.11446119162e-09,2.6455276873e-08,1.33099602899e-08,5.54319838672e-12,4.70857843653e-11,2.35564976761e-11
44.2078752,124.606852,867.161429,0.00131266205447,8.06402631654e-08,1.20685071361e-11,0.132027433605,8.11079055318e-06,1.00708811514e-09,0.0263292538628,1.61747492678e-06,2.20490817081e-10,9.31177135503e-06,5.72046468508e-10,8.54393992071e-14,1.65139773548e-08,1.01449681985e-12,1.51217769823e-16
42.6579016,125.09869,278.548237,0.000487737002426,1.40168180219e-06,4.31636737863e-09,0.051727421924,0.000148656726113,3.59538334404e-07,0.0100457707942,2.88700140468e-05,7.87883122801e-08,3.46074221805e-06,9.94564563477e-09,3.05575751526e-11,6.13893176046e-09,1.76423541595e-11,5.4082826906e-14
22.5667105,125.439002,1064.22637,0.000592831070563,1.21834233471e-07,1.46399989707e-10,0.0807015927329,1.65851912606e-05,1.21815303999e-08,0.0138336418366,2.84298720659e-06,2.67086197708e-09,4.24465126203e-06,8.72329165154e-10,1.03642693571e-12,7.59789138544e-09,1.56146214142e-12,1.83432525375e-15
57.3219789,125.250185,929.006818,0.000202132861676,5.97962393925e-09,2.68881884731e-13,0.0194930220774,5.76655079713e-07,2.23849235396e-11,0.00396997749879,1.17442420264e-07,4.90668948717e-12,1.4320120287e-06,4.23626981635e-11,1.9035345434e-15,2.5362754395e-09,7.50297265313e-14,3.36899207763e-18
30.3355848,125.76454,511.390074,0.00223207143887,1.07655661702e-05,5.07468193452e-07,0.243667940884,0.00117524165915,4.22215980171e-05,0.0466426522151,0.000224963480126,9.25767099661e-06,1.58918704642e-05,7.66485248059e-08,3.59255790013e-09,2.82866782904e-08,1.36430269017e-10,6.35826660287e-12
59.5150119,125.347896,860.748688,0.0194972166219,2.07451842908e-06,3.33345838971e-09,1.98751822779,0.000211473425752,2.77911384476e-07,0.393705846679,4.18905965096e-05,6.08738379331e-08,0.000138108994475,1.46949002935e-08,2.3598991397e-11,2.44574581141e-07,2.60229183324e-11,4.17668626581e-14
33.789697,124.348626,364.214685,0.013932889445,3.81510522411e-05,1.10612790069e-06,1.77544284278,0.00486151942231,9.26188290092e-05,0.31456032073,0.000861329394487,2.02433466498e-05,9.90660166441e-05,2.71262668897e-07,7.83090903662e-09,1.76095484222e-07,4.82184836424e-10,1.38598656407e-11
13.8541832,120.485772,125.435062,0.000317306435348,0.00287343607314,,0.066859014653,0.605456061135,,0.00921190438736,0.083420364103,,2.32106035442e-06,2.10188568757e-05,,4.24457288657e-09,3.84376346921e-08,
47.2023916,125.518757,597.317246,0.0103095111816,2.73367540889e-05,1.85210547404e-07,0.894358394453,0.00237148542406,1.55203101808e-05,0.192045805661,0.000509229668668,3.39088492549e-06,7.31045799465e-05,1.93844488799e-07,1.31118115381e-09,1.29595853649e-07,3.43637047356e-10,2.32059680483e-12
44.4083313,125.978047,330.537802,0.0175546755675,3.91775620179e-05,1.06262308168e-06,2.07320279396,0.0046268602757,8.83234653187e-05,0.381546340219,0.000851514193421,1.93757118993e-05,0.000124525846264,2.77909953167e-07,7.52267739324e-09,2.20834135157e-07,4.92845509592e-10,1.3313910675e-11
