ma1,mh1,mh2,xsec_8_ggf_h1_2a1_4tau,xsec_8_ggf_h2_2a1_4tau,xsec_8_ggf_h2_2h1_4tau,xsec_8_ggf_h1_2a1_4b,xsec_8_ggf_h2_2a1_4b,xsec_8_ggf_h2_2h1_4b,xsec_8_ggf_h1_2a1_2b2tau,xsec_8_ggf_h2_2a1_2b2tau,xsec_8_ggf_h2_2h1_2b2tau,xsec_8_ggf_h1_2a1_2tau2mu,xsec_8_ggf_h2_2a1_2tau2mu,xsec_8_ggf_h2_2h1_2tau2mu,xsec_8_ggf_h1_2a1_4mu,xsec_8_ggf_h2_2a1_4mu,xsec_8_ggf_h2_2h1_4mu
52.1395287,127.355522,1207.38615,0.000304021917687,7.33069339605e-08,9.32453706193e-12,0.0226477358865,5.46090917266e-06,7.71998848943e-10,0.00524801223149,1.26542089138e-06,1.69688324628e-10,,,,,,
54.7017073,122.269468,259.439395,0.00432201995302,0.000243413011736,3.42936707165e-05,0.391150766523,0.0220293259071,0.0029227105061,0.0822328746318,0.00463129552742,0.000633183928083,,,,,,
58.177647,123.296913,1278.45729,0.000988304163841,3.40662784881e-07,1.53207203076e-10,0.0819468195745,2.82465993666e-05,1.28395990716e-08,0.0179987091758,6.20405196743e-06,2.80508043548e-09,,,,,,
45.5385766,122.856861,612.926219,0.0122481169759,8.28048818719e-07,6.50914629154e-10,1.42665868472,9.64509925012e-05,5.46477576559e-08,0.264377627307,1.78735704777e-05,1.19282898873e-08,,,,,,
45.6907689,127.466315,878.988042,0.00122274785613,1.14598871752e-06,1.31379376742e-09,0.11138797616,0.00010439549193,1.08789282554e-07,0.0233409005009,2.18756536735e-05,2.39103894892e-08,,,,,,
22.3094875,126.758661,1040.64199,0.0111854283755,8.20630733104e-08,2.80373613067e-11,1.79732337204,1.31862522105e-05,2.3258896713e-09,0.283575964042,2.08048492601e-06,5.10732059201e-10,,,,,,
49.1905974,127.545034,458.669829,0.00133941675005,2.09398628884e-05,8.23512974117e-07,0.127001314586,0.00198548369205,6.82784078982e-05,0.0260850676085,0.00040780267914,1.4997087018e-05,,,,,,
32.3903677,126.410929,169.229173,3.93269900186e-05,0.000105329493956,,0.00439142717061,0.0117615612435,,0.000831147670407,0.00222606315626,,,,,,,
21.1870718,122.563803,296.115704,0.00794821833628,0.000110411384567,1.02094502222e-05,1.24798110437,0.0173361268924,0.000862568981449,0.199190625252,0.00276702423062,0.000187684363539,,,,,,
7.19847674,122.356643,1145.33707,0.0310609630818,4.29472759446e-06,1.59223206847e-11,,,1.33779505845e-09,,,2.91895885077e-10,,,,,,
32.6360609,123.022841,335.125592,5.36326676566e-05,5.75912075507e-06,2.23897326972e-07,0.00678909329136,0.000729018521561,1.87821333076e-05,0.00120684246559,0.000129591754342,4.10135072502e-06,,,,,,
26.6809087,126.832154,222.066847,4.24122867128e-05,0.000114286012384,,0.00619999718102,0.0167067849797,,0.0010255848245,0.00276358595674,,,,,,,
28.3728997,126.884541,191.520422,4.47962570755e-06,8.34060543928e-05,,0.000631624845835,0.0117602093762,,0.000106385015804,0.00198078031381,,,,,,,
