ma1,mh1,mh2,xsec_8_ggf_h1_2a1_4tau,xsec_8_ggf_h2_2a1_4tau,xsec_8_ggf_h2_2h1_4tau,xsec_8_ggf_h1_2a1_4b,xsec_8_ggf_h2_2a1_4b,xsec_8_ggf_h2_2h1_4b,xsec_8_ggf_h1_2a1_2b2tau,xsec_8_ggf_h2_2a1_2b2tau,xsec_8_ggf_h2_2h1_2b2tau,xsec_8_ggf_h1_2a1_2tau2mu,xsec_8_ggf_h2_2a1_2tau2mu,xsec_8_ggf_h2_2h1_2tau2mu,xsec_8_ggf_h1_2a1_4mu,xsec_8_ggf_h2_2a1_4mu,xsec_8_ggf_h2_2h1_4mu
10.2724127,75.2425764,126.786126,0.616932761215,0.0376420447699,,,,,,,,0.00464843363116,0.000283623366847,,8.75619539994e-06,5.34257734358e-07,
27.6623637,51.8186731,125.190185,,0.00259163035143,0.00528499335907,,0.372064434965,0.563223341353,,0.062104862365,0.109117031095,,1.84778314742e-05,3.76341005191e-05,,3.29358559758e-08,6.69975071705e-08
27.6105319,69.4369603,126.494257,0.00390516362535,0.000662166578932,,0.568758704474,0.0964397504714,,0.0942570061972,0.0159823877619,,2.78439489067e-05,4.72127013368e-06,,4.96320746771e-08,8.41570398763e-09,
52.5441777,96.2177561,126.831471,,0.00978035436063,,,1.03532068902,,,0.201254100237,,,6.93143485864e-05,,,1.22809428544e-07,
16.0809408,57.2153769,124.257488,0.00218177138832,0.000987691806215,1.29286852103e-06,0.427537024194,0.193546774841,0.000124794457749,0.0610831579679,0.0276524547648,2.54041591888e-05,1.58169316037e-05,7.16035320112e-06,9.19475632068e-09,2.86665375089e-08,1.29773927561e-08,1.63480552008e-11
14.6690593,81.0468123,125.934361,0.00134273631421,0.00186179725786,,0.283665970411,0.393322590794,,0.0390327349581,0.0541216008999,,9.78493050581e-06,1.35674864761e-05,,1.78264458908e-08,2.47176066704e-08,
53.2837013,88.8009521,125.688095,,0.00693407247907,,,0.733207854756,,,0.142605980339,,,4.91393628359e-05,,,8.7058398481e-08,
14.9799092,122.479718,150.1393,0.0164628886236,0.00896827508314,,3.18463816084,1.73485417534,,0.457944727444,0.249468631083,,0.0001198172798,6.52713111004e-05,,2.18008225454e-07,1.18761523628e-07,
31.8819579,83.2509122,123.933706,0.0104301466337,0.00288469660414,,1.49048162834,0.412226926697,,0.249366733455,0.0689680974242,,7.42117183588e-05,2.05249551569e-05,,1.32006273142e-07,3.65093666686e-08,
50.7594869,70.5539949,127.754848,,0.0299248445536,,,3.28956575547,,,0.627502171729,,,0.000212115122396,,,3.7588186188e-07,
55.2177217,87.768956,123.608505,,0.0129675211549,,,1.42040185831,,,0.271433904633,,,9.18822392342e-05,,,1.62759439253e-07,
47.1318404,95.1237586,127.320323,0.00571313932144,0.0365686241346,,0.641890494542,4.10860840421,,0.121114983787,0.775231981925,,4.05121248621e-05,0.000259309739116,,7.18183195131e-08,4.59694221423e-07,
28.3126561,74.9021073,127.430624,0.0128065096124,0.00351935298497,,1.89775109371,0.52152039693,,0.311792030839,0.0856834725174,,9.12733242074e-05,2.50827942756e-05,,1.62628615524e-07,4.46919200318e-08,
37.2612421,87.5138821,125.843423,0.00369722478313,0.018610683718,,0.467339621157,2.35244281547,,0.0831350619049,0.418476136492,,2.62621182733e-05,0.000132195364258,,4.66362539915e-08,2.34752449131e-07,
56.3070758,65.827939,123.768568,,0.0126997900766,,,1.36970313212,,,0.263779773639,,,8.99780669252e-05,,,1.593737471e-07,
29.3435419,49.232606,123.638052,,6.08220424943e-05,0.00581225251794,,0.00891852366304,0.657726942177,,0.00147301435868,0.123658806007,,4.33246522939e-07,4.14202224776e-05,,7.71523537935e-10,7.37938873438e-08
24.149068,73.6190015,126.737105,0.00609022405941,0.0118512693602,,0.968481701811,1.88461662603,,0.153600397935,0.298898640183,,4.35359293527e-05,8.47187263675e-05,,7.78040810202e-08,1.51402824018e-07,
12.5243777,74.137737,126.257505,0.0015665457242,0.000922504169854,,0.314465133003,0.185181569862,,0.0443902696327,0.0261404491452,,1.15501408283e-05,6.80162277545e-06,,2.12897956142e-08,1.25370903166e-08,
34.8949338,80.1918649,122.643442,0.00434248210045,1.08105103954e-06,,0.580566076209,0.000144530603855,,0.100421069384,2.49995967602e-05,,3.08653132275e-05,7.68384950783e-09,,5.48457966317e-08,1.36537362945e-11,
55.8866272,80.0640775,125.245458,,0.0289665454913,,,2.93357355089,,,0.583011120697,,,0.000205234275893,,,3.6353237232e-07,
25.1623703,75.3255792,126.341098,0.0110967104118,0.00290734067367,,1.72749807524,0.452604892031,,0.276908258294,0.0725500272006,,7.92558008142e-05,2.07650379959e-05,,1.41516758787e-07,3.70774232685e-08,
21.3216116,58.9600976,127.920739,0.00365189708745,3.54190489662e-05,1.3026179399e-05,0.608787434443,0.00590451248603,0.00126683317495,0.094302259967,0.000914619520597,0.000256920191543,2.61873871936e-05,2.53986442415e-07,9.26096678562e-08,4.69467807831e-08,4.55327816624e-10,1.64602189132e-10
46.7640809,70.8294968,123.648327,,0.00656620710131,,,0.774764300224,,,0.142650101296,,,4.65633614275e-05,,,8.2549430515e-08,
26.864519,50.2306184,123.297098,,4.77374217385e-05,0.00187107964385,,0.00717834514301,0.200590168683,,0.00117077015588,0.0387463640296,,3.40530440962e-07,1.33298866416e-05,,6.07285526736e-10,2.37410895978e-08
51.398458,82.0632565,125.885726,,0.000264561438136,,,0.0291729617766,,,0.00555627239156,,,1.87516692376e-06,,,3.32271684862e-09,
37.1304965,64.8312562,126.521389,,0.024846618941,,,3.16865254587,,,0.561178411429,,,0.000176496140702,,,3.13431857233e-07,
26.5335709,88.1135522,125.768116,0.00182059078465,0.00182103932184,,0.272948697313,0.273015943418,,0.0445837586128,0.0445947426702,,1.29899087362e-05,1.29931090474e-05,,2.31707380919e-08,2.31764466442e-08,
57.5539973,96.3703109,123.641717,,0.0288480917839,,,3.09551756876,,,0.597661358772,,,0.000204371397085,,,3.61962138255e-07,
31.3370665,51.0252862,126.390145,,0.00292493178274,0.00112280433761,,0.424146395554,0.124464611496,,0.0704442835975,0.0236431305598,,2.08158115005e-05,7.99718851938e-06,,3.70348815468e-08,1.42400198486e-08
46.7268739,112.760747,125.077258,0.00844038145823,0.00030112956881,,0.969664693932,0.0345949661895,,0.18093468328,0.00645525127369,,5.98540890876e-05,2.13542908311e-06,,1.06112265134e-07,3.7857934269e-09,
30.7372699,79.5131984,123.201982,0.00226533803265,0.00678679914386,,0.313134297349,0.938129122685,,0.0532674397024,0.159585637533,,1.61258183477e-05,4.83118583533e-05,,2.86979264941e-08,8.59770419043e-08,
29.0896584,62.0149273,126.422995,0.00279173804397,0.00942369758604,6.10810042522e-06,0.42207993272,1.42475890662,0.000617937163372,0.068653815794,0.231745524824,0.000122872653595,1.98886469284e-05,6.7135451499e-05,4.34028257416e-08,3.54222235765e-08,1.19570073392e-07,7.71027468122e-11
15.914184,88.4684767,127.208305,0.00105732336979,0.0107583771923,,0.210481178349,2.14166826655,,0.0298359962977,0.303584420103,,7.66928855025e-06,7.80358226987e-05,,1.39072843152e-08,1.41508089822e-07,
48.7140889,122.531171,183.559602,0.0490423835619,0.00202861830363,,5.14246035967,0.21271578691,,1.00438740217,0.0415460774945,,0.000347698418841,1.43824040631e-05,,6.16274035253e-07,2.54919254972e-08,
27.3670856,79.7302152,123.634739,0.00371862164616,0.00334844391272,,0.568900338513,0.512268000538,,0.0919896757968,0.0828323769569,,2.65178766072e-05,2.38781007999e-05,,4.72754320464e-08,4.25693032848e-08,
40.3405129,52.5182169,127.113514,,0.00720843892595,0.000221679231485,,0.915119303518,0.0239223123701,,0.162438685163,0.00460568336799,,5.11686081895e-05,1.57826861172e-06,,9.08042119432e-08,2.8091623582e-09
56.7642478,88.9957641,126.042902,,2.262714065e-05,,,0.00235269111043,,,0.000461452804354,,,1.60308262842e-07,,,2.83937103818e-10,
17.83411,83.855578,123.029955,0.00389676311997,0.00116166330886,,0.769670361218,0.229446284266,,0.109530325995,0.0326520645463,,2.81157276582e-05,8.38157419807e-06,,5.07147931126e-08,1.5118577281e-08,
20.9633678,122.376006,136.043351,0.0237738601797,0.0152508163009,,3.66205910876,2.34919320331,,0.590122974376,0.378561033383,,0.000170563705436,0.000109415791947,,3.05924000058e-07,1.96248766151e-07,
34.7153513,127.001903,129.466387,0.00925000957235,0.0060373341416,,1.21577230936,0.793515251452,,0.212093427521,0.138430007144,,6.57503943599e-05,4.29142367463e-05,,1.16840807695e-07,7.62601370207e-08,
36.3161074,91.4293764,126.524969,0.00151680083664,0.0206109313415,,0.184842924511,2.51172384273,,0.0334884996705,0.455055898419,,1.07767357399e-05,0.000146438843555,,1.91419384803e-08,2.60108756688e-07,
21.3072236,67.8837241,127.055611,0.00351371347365,0.00110923151819,,0.602721246555,0.19027089385,,0.0920388997082,0.029055427889,,2.51969711512e-05,7.95434083441e-06,,4.51721063736e-08,1.4260219141e-08,
28.536825,70.8636969,125.343446,0.00446317639943,0.001751842808,,0.621110160642,0.243792149473,,0.105301931804,0.0413320952143,,3.18055517425e-05,1.24840073724e-05,,5.66632948776e-08,2.22409281474e-08,
49.0592377,85.2717368,126.810414,,0.000645833508791,,,0.0709024107417,,,0.0135338320828,,,4.57862933909e-06,,,8.11503519846e-09,
56.4239338,89.7671336,124.779518,,0.00815907694928,,,0.863359232766,,,0.16785963678,,,5.78066183498e-05,,,1.02389190156e-07,
45.7900734,64.8994787,126.865245,,0.00118295894411,,,0.136443215742,,,0.02540918908,,,8.38983601157e-06,,,1.48756955284e-08,
49.2330182,94.4073979,125.714563,,0.0174989928951,,,1.93242727121,,,0.367779994503,,,0.000124056613496,,,2.19870415463e-07,
