ma1,mh1,mh2,xsec_8_ggf_h1_2a1_4tau,xsec_8_ggf_h2_2a1_4tau,xsec_8_ggf_h2_2h1_4tau,xsec_8_ggf_h1_2a1_4b,xsec_8_ggf_h2_2a1_4b,xsec_8_ggf_h2_2h1_4b,xsec_8_ggf_h1_2a1_2b2tau,xsec_8_ggf_h2_2a1_2b2tau,xsec_8_ggf_h2_2h1_2b2tau,xsec_8_ggf_h1_2a1_2tau2mu,xsec_8_ggf_h2_2a1_2tau2mu,xsec_8_ggf_h2_2h1_2tau2mu,xsec_8_ggf_h1_2a1_4mu,xsec_8_ggf_h2_2a1_4mu,xsec_8_ggf_h2_2h1_4mu
35.03781,124.306165,431.425317,0.00158543087464,3.88475541037e-06,4.17951079796e-08,0.16627552108,0.000407422196994,3.48787868661e-06,0.0324726558702,7.95672189806e-05,7.63613164702e-07,1.12683804794e-05,2.76107288775e-08,2.95891606484e-10,2.00223801398e-08,4.90605114488e-11,5.23696713683e-13
51.2922706,125.263692,307.055864,0.000833245983654,8.6893716284e-05,3.03255761382e-06,0.0820749375558,0.00855905276222,0.000253726654403,0.0165394815006,0.00172479320776,5.54775881826e-05,5.90596581155e-06,6.15894138921e-07,2.14688195857e-08,1.04652266112e-08,1.09134931322e-09,3.79968225751e-11
51.0319001,125.749883,209.109081,0.00124406396383,0.000312288142076,,0.130326167485,0.0327148104044,,0.0254663769321,0.00639263556277,,8.81802019453e-06,2.21352215272e-06,,1.56256998056e-08,3.92240343167e-09,
20.7292688,124.913204,312.008878,1.25799575694e-05,7.82626575402e-05,2.18849588986e-05,0.00148422696979,0.00923369943082,0.00183418049737,0.000273287484553,0.00170018099787,0.000400704204109,9.02841678174e-08,5.61677483267e-07,1.54934373507e-07,1.61988442996e-10,1.00776540538e-09,2.74214132699e-10
47.8677032,124.288649,176.123292,0.0292272127172,0.00278187883315,,2.6364241536,0.250937803036,,0.555176835072,0.052842352813,,0.000207233451484,1.97247119588e-05,,3.67343473952e-07,3.49641631781e-08,
27.3241619,124.531943,180.612164,1.84316813353e-05,5.45603246591e-05,,0.00240796341632,0.00712790457754,,0.000421344582766,0.00124723820963,,1.31441763653e-07,3.89085790289e-07,,2.34337509937e-10,6.93671423102e-10,
54.6365342,126.086055,340.709431,0.00347041960992,2.49711423866e-05,3.34037335932e-07,0.323691107537,0.00232909493494,2.77996636514e-05,0.0670326477816,0.000482328358081,6.09462897506e-06,2.4590980594e-05,1.76942544954e-07,2.36476135004e-09,4.35621909267e-08,3.13448457125e-10,4.18523293738e-12
41.3809594,126.276097,1119.99267,0.00219121618364,7.0999255782e-08,1.72211983998e-11,0.229357130931,7.43157417601e-06,1.42909488712e-09,0.0448361932875,1.45277146969e-06,3.1375612557e-10,1.55511882203e-05,5.03885832175e-10,1.21914152847e-13,2.75919209694e-08,8.94026736865e-13,2.15766933278e-16
58.0501054,124.829617,326.461719,0.00259790886611,2.91114349483e-05,7.64040948996e-07,0.221670266778,0.00248397456718,6.37592167751e-05,0.0479949643782,0.000537818051113,1.39591765505e-05,1.84040260284e-05,2.06230331441e-07,5.40902994639e-09,3.25943086834e-08,3.6524264161e-10,9.57331050103e-12
36.6487247,124.2496,499.233777,0.0201144654766,3.94021129412e-06,3.57226502747e-09,2.24406090918,0.000439587825455,2.98896315449e-07,0.424914512274,8.32362640828e-05,6.53524859364e-08,0.00014289905789,2.79924158299e-08,2.5290146862e-11,2.53799197021e-07,4.97165815171e-11,4.47609236284e-14
