MH [GeV],ggF 8TeV Cross Section [pb],VBF 8TeV Cross Section [pb],WH 8TeV Cross Section [pb],ZH 8TeV Cross Section [pb],13/8 TeV ratio gg,13/8 TeV ratio qq+qqbar,13/8 TeV ratio qqbar,13/8 TeV ratio qg,ggF 13TeV Cross Section [pb],VBF 13TeV Cross Section [pb],WH 13TeV Cross Section [pb],ZH 13TeV Cross Section [pb]
80.0,45.37,2.424,2.808,1.508,2.087,1.731,1.696,1.871,94.69584656,4.19621064,4.7627892,2.5577942
81.0,44.31,2.399,2.711,1.459,2.092,1.734,1.698,1.874,92.70172682,4.15885842,4.60452506,2.47805314
82.0,43.28,2.364,2.619,1.411,2.097,1.736,1.701,1.878,90.7753155,4.10397492,4.45426425,2.39975825
83.0,42.29,2.346,2.528,1.366,2.103,1.738,1.703,1.881,88.91493765,4.07842716,4.30523456,2.32632532
84.0,41.33,2.326,2.442,1.321,2.108,1.741,1.705,1.885,87.1153685,4.04926362,4.16426934,2.25266167
85.0,40.41,2.300,2.359,1.281,2.113,1.743,1.708,1.888,85.37360135,4.009498,4.0279925,2.1873075
86.0,39.52,2.283,2.279,1.238,2.118,1.746,1.710,1.891,83.68851227,3.98525046,3.89642909,2.11662098
87.0,38.66,2.258,2.203,1.200,2.123,1.748,1.712,1.895,82.05683545,3.94691626,3.7713157,2.05428
88.0,37.83,2.240,2.129,1.163,2.127,1.750,1.714,1.898,80.4752639,3.9206496,3.64927632,1.99347504
89.0,37.02,2.209,2.058,1.126,2.132,1.753,1.716,1.901,78.9429525,3.8714934,3.53200134,1.93247498
90.0,36.23,2.191,1.990,1.092,2.137,1.755,1.718,1.904,77.43327382,3.84494208,3.4195563,1.87646004
91.0,35.49,2.170,1.929,1.059,2.142,1.757,1.720,1.908,76.01348955,3.8130155,3.31882521,1.82199891
92.0,34.75,2.153,1.866,1.028,2.147,1.759,1.723,1.911,74.61247298,3.7879882,3.21435294,1.77082252
93.0,34.04,2.129,1.806,0.9965,2.152,1.762,1.725,1.914,73.25362139,3.75051027,3.11477208,1.71864362
94.0,33.36,2.108,1.749,0.9670,2.157,1.764,1.727,1.917,71.93235207,3.7181958,3.02008575,1.66976725
95.0,32.69,2.084,1.695,0.9383,2.161,1.766,1.729,1.920,70.64803139,3.68042736,2.93033295,1.622142423
96.0,32.04,2.068,1.641,0.9109,2.166,1.768,1.731,1.924,69.4001382,3.65667896,2.84032485,1.576631265
97.0,31.41,2.046,1.589,0.8840,2.171,1.770,1.733,1.927,68.1844399,3.62221794,2.75353043,1.53185708
98.0,30.80,2.027,1.540,0.8592,2.175,1.773,1.735,1.930,67.00286272,3.59291831,2.6717306,1.490617488
99.0,30.21,2.004,1.495,0.8340,2.180,1.775,1.737,1.933,65.85287281,3.55643868,2.5966356,1.44855792
100.0,29.68,1.988,1.447,0.8102,2.185,1.777,1.739,1.936,64.84726728,3.53223864,2.51614489,1.408832474
101.0,29.12,1.967,1.403,0.7876,2.189,1.779,1.741,1.939,63.75233286,3.49905696,2.44239852,1.371085584
102.0,28.57,1.945,1.360,0.7650,2.194,1.781,1.743,1.942,62.68539123,3.46398665,2.3701944,1.33323435
103.0,28.04,1.933,1.319,0.7436,2.199,1.783,1.745,1.945,61.64536948,3.44661632,2.30131206,1.297388664
104.0,27.52,1.914,1.280,0.7226,2.203,1.785,1.747,1.948,60.63536804,3.4166814,2.2357376,1.262143742
105.0,27.01,1.897,1.242,0.7022,2.208,1.787,1.749,1.951,59.62235061,3.39020458,2.17174878,1.227859898
106.0,26.52,1.877,1.204,0.6833,2.212,1.789,1.751,1.954,58.66422125,3.35827209,2.107602,1.19611665
107.0,26.05,1.862,1.169,0.6646,2.217,1.791,1.752,1.957,57.75659633,3.33519578,2.04854391,1.164638394
108.0,25.59,1.841,1.135,0.6469,2.221,1.793,1.754,1.960,56.84625866,3.30126279,1.9911078,1.134843732
109.0,25.14,1.826,1.103,0.6296,2.226,1.795,1.756,1.963,55.9568713,3.27799868,1.93703345,1.10567204
110.0,24.70,1.809,1.071,0.6125,2.230,1.797,1.758,1.966,55.08701648,3.25106244,1.88282871,1.076781125
110.5,24.48,1.799,1.056,0.6040,2.233,1.798,1.759,1.967,54.6607458,3.23485386,1.85744064,1.06239976
