MH [GeV],13.0 TeV / 8 TeV gg,13.0 TeV / 8 TeV qq+qqbar,13.0 TeV / 8 TeV qqbar,13.0 TeV / 8 TeV qg,13.5 TeV / 8 TeV gg,13.5 TeV / 8 TeV qq+qqbar,13.5 TeV / 8 TeV qqbar,13.5 TeV / 8 TeV qg,14.0 TeV / 8 TeV gg,14.0 TeV / 8 TeV qq+qqbar,14.0 TeV / 8 TeV qqbar,14.0 TeV / 8 TeV qg,,Mass,ggF 8TeV Cross section [pb],ggF 13TeV cross section [pb]
80.0,2.087,1.731,1.696,1.871,2.204,1.804,1.765,1.960,2.322,1.877,1.834,2.050,,80.0,45.37,94.6958
81.0,2.092,1.734,1.698,1.874,2.210,1.807,1.768,1.964,2.328,1.880,1.836,2.055,,81.0,44.31,92.7017
82.0,2.097,1.736,1.701,1.878,2.216,1.809,1.770,1.968,2.335,1.883,1.839,2.059,,82.0,43.28,90.7753
83.0,2.103,1.738,1.703,1.881,2.221,1.812,1.773,1.972,2.341,1.886,1.842,2.063,,83.0,42.29,88.9149
84.0,2.108,1.741,1.705,1.885,2.227,1.815,1.775,1.976,2.348,1.889,1.845,2.067,,84.0,41.33,87.1154
85.0,2.113,1.743,1.708,1.888,2.233,1.818,1.778,1.980,2.354,1.892,1.848,2.072,,85.0,40.41,85.3736
86.0,2.118,1.746,1.710,1.891,2.238,1.820,1.780,1.983,2.360,1.895,1.850,2.076,,86.0,39.52,83.6885
87.0,2.123,1.748,1.712,1.895,2.244,1.823,1.783,1.987,2.367,1.898,1.853,2.080,,87.0,38.66,82.0568
88.0,2.127,1.750,1.714,1.898,2.249,1.825,1.785,1.991,2.373,1.900,1.856,2.084,,88.0,37.83,80.4753
89.0,2.132,1.753,1.716,1.901,2.255,1.828,1.787,1.994,2.379,1.903,1.858,2.088,,89.0,37.02,78.9430
90.0,2.137,1.755,1.718,1.904,2.261,1.831,1.790,1.998,2.385,1.906,1.861,2.092,,90.0,36.23,77.4333
91.0,2.142,1.757,1.720,1.908,2.266,1.833,1.792,2.002,2.391,1.909,1.864,2.096,,91.0,35.49,76.0135
92.0,2.147,1.759,1.723,1.911,2.272,1.836,1.795,2.005,2.398,1.912,1.866,2.100,,92.0,34.75,74.6125
